Он напоминает миниатюрный конструктор на тему «Собери сам цыпленка «Кордон Блю», какую-то изящную головоломку, которую выдают тебе, чтобы ты не скучал в полете.	 160
Черная длинная борода его на щеках быта завита в мелкие кольца, а ниже заплеталась в жгуты.	 91
Но тут она увидела, что зубчатка отломилась и крутится сама по себе.	 68
А солдаты они, как всем известно, никуда не годные.	 51
Во время еды у собаки обильно отделяется слюна.	 47
Случилось это так: он переключился на шестую скорость, чтобы одолеть крутой подъем.	 83
На второй – оно отклонилось от вертикали на десять градусов.	 60
В большом саду, посредине молодой эвкалиптовой рощи стояла китайская беседка.	 77
Одна белая точка означает, что до конца части осталось две минуты.	 68
По полу внезапно растеклась скользкая лужа.	 43
Мы поговорили.	 15
Но каким образом, не знают ни они, ни пославшие их.	 51
Легкие пушистые облачка скромно украшали небо, пересеченное четкими инверсионными полосами от грузовых гравибарж.	 113
Опять не так.	 13
Лодка быстро поплыла вниз по течению.	 37
И тут дым повалил клубами из разбитых окон.	 45
Маяк был сложен из громадных каменных кубов красного, черного и белого цвета, расположенных красивым узором.	 108
И это было не случайно: в этом контрасте был строго продуманный расчет режиссера.	 81
Высокая ломкая трава шуршала и хрустела под ногами, колючие семена впивались в шорты.	 87
Кара как мой личный помощник и секретарь.	 42
Если она вообще вернется.	 25
«Медуза» спокойно стояла на якоре.	 34
Наступила душная январская ночь аргентинского лета.	 51
Пауль принялся разглядывать резное изголовье кровати – на самом деле это был замаскированный пульт управления оборудованием комнаты.	 132
Пауль спал.	 11
Малыши, как водится, вертелись тут же, коленки у них смешно вихляли, дети выпускали в двадцатиградусный морозный воздух клубочки пара.	 134
В комнате стояли стул и приставной столик, на стене над столиком висело зеркало.	 80
Все, что произошло дальше, словами не объяснишь.	 48
Я, озираясь, шел следом.	 24
В те времена он был счастлив, и когда ему в нынешней жизни удавалось словно бы коснуться тех дней, его окутывал покой.	 118
Он-то и является подлинной мишенью в плане Тайлера.	 51
С каждым днем и месяцем, я замечал все больше.	 46
Коля сел, положив руки на колени и неестественно выпрямившись.	 62
И это было весьма паршиво.	 26
Стрелка часов подошла к полудню.	 32
Вот о таком человеке я и говорю.	 32
Щуря затянутые катарактами глаза, Карл напряженно пытался понять, соответствует ли фотография моим чертам лица, и не лучше ли, зря не напрягаясь, пристрелить меня сразу.	 169
Исхудалые пальцы правой руки Карла покоились на рукоятке древнего револьвера, которая высовывалась из набедренной кобуры.	 121
Он мысленно произнес формулу-заклинание против страха из ритуала Бене Гессерит, которому научила его мать.	 106
После возвращения следующие пол года мы готовили корабль.	 58
По мере того, как пленка сматывается, принимающая бобина начинает крутиться все медленнее и медленнее, а подающая – быстрее и быстрее.	 134
Да, человек — сам творец своей славы.	 37
Вторая белая точка появляется за пять секунд до конца части.	 62
А звук бьющегося стекла доносится с того этажа, который под нами.	 65
Тогда я смог увидеть ее лицо.	 29
Что до Хорхе, хозяина заведения, то он выглядел слишком молодо для того, чтобы торговать бензином, едой, прицепами и прочими молекулами в Реденсьоне – в зной ли, в холод.	 170
Конкретная причина этой перемены – неизбежное создание с помощью техники сущностей, чей интеллект превзойдет человеческий.	 122
Мы забываем, что это — выдуманные люди, и вместе с ними переживаем их удивительные приключения.	 95
Звук в кинотеатре воспроизводится колонками, установленными в зале.	 67
Десять дней и триста пятьдесят световых лет спустя мы покинули гиперпространство в необитаемой системе уже за пределами как самого Содружества так и приграничных систем в которых существовали моносистемные государства.	 218
Он бы с достоинством носил свою наготу.	 39
Черное небо покрылось звездами.	 31
Безвыходных положений не существует в принципе.	 48
Маленькая сенсорная панель в нижнем углу говорила о том, что зеркало может служить еще и монитором.	 99
А на самых старых проекторах на подающей бобине есть еще звуковой сигнал, который начинает звучать, когда пленка уже подходит к концу.	 134
Стол долго качается в неустойчивом равновесии на подоконнике, затем вываливается и, вертясь в воздухе, планирует на толпу, как таинственный летательный аппарат.	 160
Мой начальник.	 14
То есть не само лицо, а выражение.	 34
Слышался лишь стук медицинского насоса, который, пульсируя в ритме три четверти, бесперебойно снабжал его организм успокоительными и инсулином.	 143
Сияло солнце, и бриз был холодным.	 34
Эти поездки – сплошная мука.	 28
За сутки воздушный шар отнесло на полторы тысячи миль, куда-то в самый центр России, где этот смельчак и опустился.	 115
Представьте себе каждую чакру, как распускающийся цветок, в центре которого, словно в замедленной съемке, вспыхивают лучи белого света.	 135
И платили за то, чтоб увидеть его на экране.	 44
Тонио был своего рода чудом природы.	 36
Но если спали его глаза, то уши его не спали.	 45
Сначала выглядывал только острый край, и его накрывало прибоем, потом дерево все больше и больше высовывалось из воды.	 118
Или когда вулканический выброс горящего газа и обломков, которые некогда были твоим гостиным гарнитуром и личными вещами, выбивает окна-витрины и вырывается наружу, оставляя в скале здания выжженную обугленную пещеру кондоминиума, твою личную и ничью больше.	 258
И везде, куда ни поглядишь, — сети.	 35
Лжец.	 7
Очевидно, царапины были сделаны кем-то, кто очень небрежно обтирал края подошвы, чтобы удалить засохшую грязь.	 110
Так вот, все, включая этот сервиз, уничтожено взрывом.	 54
Я с интересом посматривал по сторонам, но я ничего не узнавал.	 62
И лодки оставались на ночь на воде, привязанные у якорной цепи.	 63
Максим обошел корабль, ведя ладонью по холодному, чуть влажному его боку.	 75
Тень гигантской руки – вот что создал Тайлер.	 47
То был Гасан Табули.	 20
Медицина и воздухоплавание, астрономия и межпланетные путешествия, радиотехника и биология, океанография и телевидение — таков лишь краткий перечень тем, каких касался Беляев.	 175
Он всегда питал отвращение к боксерам.	 38
Нам осталось жить не более десяти минут.	 42
Второй: то же самое, но вместо апельсинового сока – диетическая кола.	 69
Огромные мегаполисы покрыли поверхность Земли, а гигантские корпорации беспощадно сражаются между собой всеми доступными методами.	 130
Я снова прислушался, пытаясь среди шороха дождевых струй разобрать подозрительные шумы.	 87
На третьей – уже на двадцать.	 29
В подогретую спиртными напитками голову Алика пришла идея устроить холостяцкий отрыв на побережье Мексики, благо путевки имелись в наличии.	 139
Хорошие у крысоедов ботинки.	 28
Ну, разумеется.	 15
А впереди еще десять дней, еще четыреста миль, еще пятьдесят гор, которые так нравятся Соломону Гурски.	 103
Гондолы быстро поплыли вдоль прямого канала, который пересекался тремя концентричными каналами.	 97
Хотя… Хават еще говорил, что в такой очевидности таится смертельная угроза, ибо герцог Лето слишком популярен в Ландсрааде Великих Правящих Домов.	 146
Мне всегда нравилась эта вселенная, но не настолько что бы разбираться в ней досконально.	 89
За ними, плененный этими разряженными в попугайские цвета фантастическими существами с колоссальными очками-консервами вместо глаз, увязался какой-то шофер-дальнобойщик.	 169
Впереди рассыпались по залу столики, посредине, точно желтый алмаз, сверкала вощеным паркетом площадка для танцев.	 114
Да в целом у аграфов более развитые технологии, но несмотря на это в прямом вооруженном конфликте только с Центральными мирами им уже не победить.	 146
Все уничтожено взрывом, даже стеклянный зеленый сервиз ручной работы с крохотными пузырьками внутри и неровностями снаружи от прилипшего песка.	 145
Утомительно-однообразны… Он брезгливо отряхнул пальцы и вытер их о песок, потом присел на корточки, задумался.	 110
Проверив показания датчиков систем корабля мы облегченно выдохнули.	 68
Престо простонал и попросил ее пройти еще раз.	 46
Пауль подавил смешок: даже мать поверила, что он спит.	 54
Дичь.	 5
Случалось такое, впрочем, очень и очень нечасто.	 50
Я за свои личные деньги профинансировал для человечества развитие этих удалённых систем Восьмого Сектора, чтобы там могли возникнуть полноценные станции и новые поселения.	 171
Яркая голубая вспышка озарила все вокруг, словно ударила молния, и сейчас же над обрывом загрохотало, зашипело, затрещало огненным треском.	 178
До эпохи снегомобилей было еще далеко, и люди предпочитали размяться на свежем воздухе, а не возиться с мотором.	 112
Время шло, и он усвоил, что боль периодически оставляет его.	 62
Еще одна подсказка: поделись самым сокровенным.	 49
Вид Чака на больничной койке, где он казался каким-то потерянным и маленьким, потряс Джонни – в ту ночь ему снилось, что это он, Джонни, лежит там.	 147
Ожидая его приговора, я забавлялся тем, что мысленно соединял линиями старческие родимые пятна на его лице, пытаясь получить какое-нибудь изображение.	 150
Молодой человек вошел в полосу света и остановился.	 51
Вспомните того молодого француза, который несколько дней назад поднялся на воздушном шаре.	 90
еловечество создало роботов — верных слуг и надёжное подспорье в грядущих свершениях.	 85
Во время направленной медитации, я раскрываю объятия, чтобы принять в них ребенка, живущего во мне, но вместо ребенка в объятия мои устремляется дымящая как паровоз Марла.	 171
Снова припав к бутылке, он услышал наконец, как жена поворачивает ключ в двери, но не отрывался от горлышка, покуда она не вошла в комнату и не стала перед ним.	 161
Когда наш поединок закончился, ни одна из этих проблем никуда не девалась, но мне теперь было на них наплевать.	 113
Из создавшегося безвыходного положения мне необходим был другой, более приемлемый выход.	 88
Яростный жар бил в лицо, и Максим заслонился ладонью и попятился вдоль обрыва – на шаг, потом еще на шаг, потом еще и еще… Он пятился, не отрывая слезящихся глаз от этого жаркого факела великолепной красоты, сыплющего багровыми и зелеными искрами, от этого внезапного вулкана, от бессмысленного буйства распоясавшейся энергии.	 326
Все должно быть рационально и оптимально, как велит кибернетика — своеобразная религия мира Кибериады.	 102
Впечатление было такое, словно я толкался в чуть упругую, совершенно невидимую стену.	 85
Помимо удобство экипажа дополнительно была создана мощнейшая инженерная секция.	 79
Но ведь это сказал не американец, притом сказал фразу, которую даже трудно понять.	 82
Подошел, подергал, подергал еще раз, подергал исступленно.	 58
Мы чуть не позабыли обо всей этой тайлеровской философии касательно убийства и самоубийства, зачарованно глядя на то, как еще один конторский шкаф вывалился из здания.	 169
Мало, прямо скажем.	 19
Взгляд остановился на встроенном в бледно–голубой потолок световом табло, ноздри уловили бодрящий запах лаванды с легкой кислинкой антисептика.	 143
Среди этой высокой и узкой мебели фигура его казалась особенно мала, неуклюжа, нелепа.	 86
Но противиться этому смеху никто не мог.	 40
Я сорвал с пояса флягу, подал.	 30
Теперь Харконнены уходили, а на их место, но уже с полным леном, приходили Атрейдесы – и бесспорность победы герцога Лето Атрейдеса была очевидна.	 146
И за голубой тоже стоит Марла.	 30
Вся фигура бога была высечена из горной цепи.	 45
Был на нем серый свитер со свободным воротом, узкие синие брюки непонятного покроя, не форменные, и красные с серым плетеные сандалии.	 134
Бесцветные дни мертвым грузом висят на шее, и чем дальше, тем их больше, и веревка, на которой они подвешены, затягивается все туже, он едва может дышать.	 154
Сфинктер Люки – круговая мышца, – не управляемый больше, разжался, выплеснув наружу отработанные соки его тела.	 111
Во-вторых, нельзя было бросать на растерзание чужим восемь тысяч обитателей станции Хнель, жизни которых полностью зависели от нашей способности защитить их.	 157
И вот на пятый день похода – в трех днях пути от ближайшего дилера фирмы «Дерт-Лобо», как сообщила карманная электронная карта Элены, – зубчатая передача превратилась в две одинаковые половинки.	 194
Звуковой сигнал – это такой звонок, который звенит, когда бобина крутится очень быстро.	 87
Да, вовремя мы сюда подоспели.	 30
Ни воды, ни пищи, да что там – и одежды-то оставили крайне мало.	 64
И еще оттуда устойчиво и неуютно тянуло жутью, тем паскудным чувством, которое возникает, когда входишь один в незнакомую темную комнату.	 137
Максим просунулся в кабину, переключил управление на авторемонт, задействовал экспресс-лабораторию и направился к реке.	 254
Только один человек, крупный европейский писатель и оригинальный мыслитель, на вопрос американского журналиста о том, как ему нравится игра Антонио Престо, ответил.	 164
За бравурными речами и показной весёлостью я старался скрыть свою растерянность.	 80
Темные волосы развеваются по ветру, глаза женщины широко открыты, но на лице не видать ни улыбки, ни гримасы страха.	 116
А это, к тому же, дело нелегкое.	 32
Мартин, улыбаясь, все еще держал карту в левой руке, а Бенедикт, явно недавно вызванный, стоял перед ним.	 106
Но ее страсть в прежние времена никогда не полыхала таким ядерным пожаром, никогда она с такой силой к нему не ластилась.	 121
В ней действуют свои законы, свои табу.	 39
Вокруг меня — благодать, чистый курорт на озере Заггута, только самого озера нет.	 81
Цивилизация роботов.	 20
Его не остановят никакие препятствия.	 37
Опершись на локоть, он протянул раскрытую ладонь правой руки и с улыбкой рассматривал расположенные на ней храмы, с великим храмом Посейдониса посредине, громадные пирамиды и обелиски.	 184
Так что, успокоил я сам себя, ещё посмотрим, чья в итоге возьмёт.	 65
Твердь эта, несомненно, опиралась на могучие плечи местного Атланта и равномерно фосфоресцировала.	 98
